user_id,age,gender,device
1,56,M,Desktop
2,46,M,Mobile
3,32,M,Desktop
4,60,M,Tablet
5,25,M,Mobile
6,38,F,Mobile
7,56,M,Desktop
8,36,M,Desktop
9,40,M,Mobile
10,28,F,Mobile
11,28,F,Mobile
12,41,M,Mobile
13,53,F,Desktop
14,57,M,Mobile
15,41,M,Mobile
16,20,F,Desktop
17,39,M,Mobile
18,19,F,Mobile
19,41,F,Desktop
20,61,M,Desktop
21,47,M,Mobile
22,55,F,Mobile
23,19,M,Mobile
24,38,M,Mobile
25,50,M,Mobile
26,29,F,Mobile
27,39,F,Mobile
28,61,M,Mobile
29,42,F,Mobile
30,44,F,Mobile
31,59,F,Mobile
32,45,F,Mobile
33,33,F,Mobile
34,32,M,Desktop
35,64,M,Mobile
36,61,M,Desktop
37,20,F,Desktop
38,54,F,Mobile
39,24,M,Mobile
40,38,F,Mobile
41,26,M,Mobile
42,56,M,Desktop
43,35,M,Mobile
44,21,F,Mobile
45,42,F,Mobile
46,31,M,Mobile
47,26,M,Desktop
48,43,M,Mobile
49,19,M,Mobile
50,37,F,Tablet
51,45,F,Desktop
52,64,M,Mobile
53,24,M,Mobile
54,61,F,Mobile
55,25,F,Mobile
56,64,M,Mobile
57,52,M,Mobile
58,31,M,Mobile
59,34,F,Mobile
60,53,F,Desktop
61,57,F,Mobile
62,21,M,Mobile
63,19,M,Mobile
64,23,F,Tablet
65,59,F,Mobile
66,21,M,Mobile
67,46,F,Tablet
68,35,F,Desktop
69,43,M,Desktop
70,61,F,Mobile
71,51,M,Mobile
72,27,M,Desktop
73,53,M,Tablet
74,31,M,Mobile
75,48,M,Mobile
76,32,M,Mobile
77,25,M,Desktop
78,31,F,Mobile
79,40,M,Mobile
80,57,M,Mobile
81,38,F,Mobile
82,33,F,Mobile
83,62,F,Mobile
84,35,M,Desktop
85,64,F,Mobile
86,41,M,Mobile
87,43,M,Mobile
88,42,M,Mobile
89,62,M,Mobile
90,58,F,Mobile
91,46,F,Mobile
92,32,M,Mobile
93,62,M,Mobile
94,18,M,Tablet
95,42,F,Mobile
96,24,M,Desktop
97,26,M,Mobile
98,41,F,Desktop
99,18,F,Desktop
100,61,M,Mobile
101,25,F,Mobile
102,41,F,Mobile
103,28,M,Mobile
104,34,F,Tablet
105,25,M,Desktop
106,52,F,Tablet
107,52,M,Mobile
108,50,M,Desktop
109,22,M,Tablet
110,59,F,Mobile
111,56,M,Mobile
112,58,F,Desktop
113,45,M,Mobile
114,24,M,Desktop
115,26,F,Mobile
116,25,M,Desktop
117,29,M,Mobile
118,51,F,Mobile
119,50,M,Mobile
120,40,M,Desktop
121,41,M,Desktop
122,54,M,Mobile
123,52,F,Mobile
124,61,F,Desktop
125,57,M,Mobile
126,39,F,Desktop
127,44,M,Mobile
128,52,F,Mobile
129,18,M,Mobile
130,52,M,Mobile
131,54,M,Desktop
132,64,M,Mobile
133,31,M,Mobile
134,20,M,Desktop
135,18,F,Mobile
136,22,M,Mobile
137,43,F,Tablet
138,31,M,Desktop
139,56,F,Mobile
140,44,F,Tablet
141,26,F,Desktop
142,32,M,Mobile
143,32,M,Mobile
144,43,F,Desktop
145,59,M,Desktop
146,30,F,Mobile
147,49,M,Desktop
148,56,F,Desktop
149,49,F,Mobile
150,21,M,Mobile
151,47,F,Mobile
152,54,M,Desktop
153,40,F,Mobile
154,56,F,Mobile
155,62,M,Desktop
156,32,M,Desktop
157,60,M,Mobile
158,46,F,Desktop
159,53,M,Mobile
160,30,F,Desktop
161,49,F,Mobile
162,24,M,Mobile
163,39,M,Desktop
164,45,F,Mobile
165,19,F,Mobile
166,59,M,Desktop
167,62,M,Desktop
168,23,M,Desktop
169,45,M,Desktop
170,45,M,Mobile
171,61,F,Mobile
172,61,F,Mobile
173,37,F,Mobile
174,47,F,Tablet
175,28,M,Mobile
176,45,M,Mobile
177,42,M,Mobile
178,56,F,Tablet
179,50,F,Mobile
180,18,M,Mobile
181,44,M,Mobile
182,30,F,Desktop
183,58,F,Mobile
184,20,M,Desktop
185,56,M,Tablet
186,23,F,Mobile
187,25,M,Desktop
188,44,M,Tablet
189,26,M,Desktop
190,54,F,Mobile
191,50,F,Mobile
192,59,F,Desktop
193,61,F,Mobile
194,41,F,Desktop
195,32,F,Tablet
196,49,F,Tablet
197,49,M,Mobile
198,41,M,Mobile
199,58,M,Tablet
200,29,M,Desktop
201,56,M,Mobile
202,19,M,Tablet
203,20,M,Desktop
204,54,F,Mobile
205,34,F,Mobile
206,19,M,Mobile
207,19,M,Mobile
208,45,F,Mobile
209,40,M,Desktop
210,54,M,Mobile
211,49,F,Mobile
212,50,M,Mobile
213,18,F,Mobile
214,36,M,Tablet
215,19,F,Mobile
216,61,F,Mobile
217,43,F,Desktop
218,49,M,Mobile
219,23,F,Mobile
220,49,M,Mobile
221,21,M,Mobile
222,28,M,Mobile
223,34,M,Mobile
224,55,F,Mobile
225,41,F,Tablet
226,22,M,Mobile
227,51,M,Mobile
228,23,F,Desktop
229,39,M,Mobile
230,28,F,Desktop
231,33,M,Mobile
232,50,M,Tablet
233,26,F,Mobile
234,23,M,Mobile
235,33,F,Mobile
236,46,M,Tablet
237,20,M,Mobile
238,37,M,Mobile
239,53,F,Mobile
240,36,M,Desktop
241,43,M,Mobile
242,20,M,Desktop
243,36,M,Mobile
244,37,F,Mobile
245,49,F,Mobile
246,24,M,Mobile
247,58,F,Mobile
248,50,M,Mobile
249,57,M,Desktop
250,56,M,Mobile
251,35,F,Mobile
252,57,F,Mobile
253,18,F,Mobile
254,28,F,Mobile
255,45,F,Mobile
256,42,F,Mobile
257,40,F,Desktop
258,48,F,Tablet
259,47,F,Mobile
260,59,M,Mobile
261,52,F,Desktop
262,24,F,Mobile
263,33,F,Mobile
264,43,F,Mobile
265,19,F,Desktop
266,18,F,Desktop
267,29,F,Mobile
268,22,F,Mobile
269,54,F,Mobile
270,49,F,Desktop
271,26,F,Mobile
272,58,M,Mobile
273,52,M,Desktop
274,36,F,Mobile
275,33,F,Desktop
276,20,M,Mobile
277,37,F,Mobile
278,41,M,Mobile
279,50,M,Desktop
280,41,M,Desktop
281,28,M,Desktop
282,25,M,Mobile
283,53,F,Desktop
284,55,M,Mobile
285,57,F,Mobile
286,37,F,Desktop
287,52,M,Mobile
288,42,M,Mobile
289,52,F,Mobile
290,42,M,Mobile
291,46,M,Mobile
292,35,F,Mobile
293,63,F,Mobile
294,35,M,Desktop
295,19,F,Desktop
296,52,M,Mobile
297,33,M,Mobile
298,58,M,Mobile
299,53,F,Mobile
300,50,F,Mobile
301,21,F,Desktop
302,50,F,Mobile
303,31,F,Mobile
304,38,M,Mobile
305,37,M,Mobile
306,25,M,Tablet
307,24,M,Desktop
308,20,F,Mobile
309,34,M,Desktop
310,50,F,Mobile
311,29,M,Desktop
312,39,F,Desktop
313,39,F,Mobile
314,63,M,Mobile
315,47,M,Mobile
316,55,M,Mobile
317,55,M,Desktop
318,62,F,Mobile
319,25,M,Mobile
320,44,M,Desktop
321,44,F,Tablet
322,51,M,Mobile
323,38,M,Mobile
324,47,M,Mobile
325,50,M,Mobile
326,45,M,Tablet
327,64,F,Mobile
328,50,M,Mobile
329,22,M,Mobile
330,36,M,Mobile
331,21,M,Desktop
332,52,M,Desktop
333,34,F,Mobile
334,61,M,Mobile
335,45,F,Mobile
336,47,F,Tablet
337,46,M,Desktop
338,63,M,Mobile
339,23,M,Desktop
340,52,M,Desktop
341,58,F,Mobile
342,54,M,Tablet
343,41,M,Mobile
344,46,M,Mobile
345,63,M,Mobile
346,48,M,Mobile
347,52,M,Mobile
348,50,F,Desktop
349,38,F,Mobile
350,49,M,Desktop
351,40,M,Mobile
352,50,M,Mobile
353,20,F,Mobile
354,35,M,Mobile
355,42,F,Desktop
356,59,M,Mobile
357,48,M,Mobile
358,20,M,Mobile
359,57,M,Desktop
360,63,F,Tablet
361,41,F,Desktop
362,49,M,Mobile
363,64,M,Mobile
364,39,F,Mobile
365,40,F,Mobile
366,19,F,Mobile
367,44,F,Mobile
368,59,M,Mobile
369,19,F,Mobile
370,43,M,Desktop
371,34,F,Mobile
372,57,F,Mobile
373,50,F,Desktop
374,26,F,Mobile
375,60,F,Desktop
376,56,M,Mobile
377,46,M,Mobile
378,59,F,Desktop
379,43,F,Desktop
380,52,M,Desktop
381,42,F,Mobile
382,41,F,Mobile
383,30,M,Mobile
384,24,F,Mobile
385,53,F,Tablet
386,62,M,Mobile
387,37,M,Tablet
388,18,M,Mobile
389,25,F,Mobile
390,63,M,Mobile
391,33,M,Desktop
392,31,M,Desktop
393,29,M,Desktop
394,40,M,Desktop
395,32,M,Desktop
396,45,F,Desktop
397,51,F,Mobile
398,19,M,Mobile
399,49,M,Mobile
400,40,M,Tablet
401,39,F,Tablet
402,42,F,Mobile
403,39,F,Desktop
404,39,F,Tablet
405,59,F,Mobile
406,23,F,Mobile
407,32,F,Tablet
408,60,F,Mobile
409,54,F,Desktop
410,50,M,Mobile
411,25,M,Tablet
412,61,M,Tablet
413,61,M,Tablet
414,22,F,Mobile
415,56,F,Desktop
416,21,M,Desktop
417,23,F,Mobile
418,62,M,Desktop
419,49,F,Mobile
420,47,M,Mobile
421,64,F,Mobile
422,52,F,Mobile
423,57,M,Mobile
424,33,F,Desktop
425,30,M,Mobile
426,59,M,Desktop
427,47,M,Mobile
428,36,M,Mobile
429,34,F,Mobile
430,36,F,Desktop
431,45,F,Mobile
432,43,M,Desktop
433,54,F,Desktop
434,43,M,Desktop
435,40,F,Mobile
436,26,F,Mobile
437,29,F,Desktop
438,18,M,Mobile
439,18,F,Desktop
440,64,F,Mobile
441,51,M,Tablet
442,49,F,Desktop
443,42,M,Tablet
444,57,F,Mobile
445,62,M,Desktop
446,18,M,Mobile
447,33,F,Mobile
448,56,M,Desktop
449,22,M,Desktop
450,39,M,Tablet
451,46,M,Desktop
452,20,M,Mobile
453,29,M,Mobile
454,43,F,Desktop
455,33,M,Mobile
456,54,M,Mobile
457,39,F,Mobile
458,46,F,Mobile
459,31,F,Mobile
460,45,F,Mobile
461,22,F,Mobile
462,64,F,Mobile
463,47,F,Tablet
464,63,M,Mobile
465,22,M,Mobile
466,29,F,Desktop
467,33,M,Mobile
468,43,M,Tablet
469,43,M,Desktop
470,38,F,Mobile
471,56,F,Mobile
472,53,M,Desktop
473,50,F,Tablet
474,47,M,Mobile
475,54,M,Desktop
476,40,M,Mobile
477,27,M,Tablet
478,22,F,Mobile
479,53,F,Tablet
480,51,F,Desktop
481,48,M,Desktop
482,27,F,Mobile
483,36,M,Mobile
484,49,F,Mobile
485,18,M,Mobile
486,22,M,Mobile
487,62,M,Desktop
488,21,F,Mobile
489,33,F,Mobile
490,41,F,Tablet
491,33,F,Desktop
492,19,M,Tablet
493,45,F,Tablet
494,49,F,Mobile
495,44,M,Mobile
496,37,M,Desktop
497,41,M,Desktop
498,29,F,Mobile
499,52,M,Desktop
500,50,M,Mobile
